mct_id,MCT_NM,map,avg_re_rate,is_low_mct_re_rate,industry_avg_re_rate,is_low_industry_re_rate,worst_month,worst_rate,best_month,target_per_segment,best_per_type,worst_per_type
16184E93D9,성우**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,1020여,유동고객,직장고객
4D039EA8B7,대보**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,1020여,유동고객,직장고객
0074C4990A,대용**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,1020남,유동고객,직장고객
68308F2746,통일**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,30여,유동고객,직장고객
4117EDDE9C,한울**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,30남,유동고객,거주고객
281CA527F1,대광**,축산물,21.095555555555600,TRUE,28.537757397473600,TRUE,11,15.0,4,1020여,유동고객,직장고객
9A71D71270,미림**,식료품,21.095555555555600,TRUE,35.174791015069700,FALSE,11,15.0,4,1020남,유동고객,거주고객
761947ABD9,호남*,한식-육류,21.095555555555600,TRUE,20.125795834682200,TRUE,11,15.0,4,1020여,유동고객,직장고객
145BA84596,고향***,한식-탕류,21.095555555555600,TRUE,27.69367664670660,TRUE,11,15.0,4,60여,거주고객,신규고객
27C88660A5,북*,중식,21.095555555555600,TRUE,30.6497357992074,FALSE,11,15.0,4,1020여,유동고객,신규고객
BAACCE3A2C,좋은**,식료품,21.095555555555600,TRUE,35.174791015069700,FALSE,11,15.0,4,1020남,유동고객,거주고객
BE3EAEA415,별난**,한식-면류,21.095555555555600,TRUE,25.469640820980600,TRUE,11,15.0,4,1020남,유동고객,신규고객
01AAD3CFFA,행당**,식료품,21.095555555555600,TRUE,35.174791015069700,FALSE,11,15.0,4,1020여,거주고객,신규고객
C3E6D8B14F,이혜*******,건강식품,21.095555555555600,TRUE,19.984804381846600,TRUE,11,15.0,4,1020남,거주고객,유동고객
E606947836,정*,중식,21.095555555555600,TRUE,30.6497357992074,FALSE,11,15.0,4,1020여,유동고객,신규고객
E863289A7D,조은**,한식-기타,21.095555555555600,TRUE,23.09235057932780,TRUE,11,15.0,4,1020여,유동고객,신규고객
B584924DB0,왕십****,식료품,21.095555555555600,TRUE,35.174791015069700,FALSE,11,15.0,4,1020남,거주고객,직장고객
2344622681,광한******,한식-기타,21.095555555555600,TRUE,23.09235057932780,TRUE,11,15.0,4,1020여,유동고객,직장고객
3E35A71757,멕시*****,치킨,21.095555555555600,TRUE,23.45201709401710,TRUE,11,15.0,4,1020여,거주고객,직장고객
5017C6924A,도미********,피자,21.095555555555600,TRUE,24.039927601810000,TRUE,11,15.0,4,1020여,거주고객,신규고객
888828B4FB,현대**,식료품,21.095555555555600,TRUE,35.174791015069700,FALSE,11,15.0,4,1020여,거주고객,직장고객
