ENCODED_MCT,MCT_NM,HPSN_MCT_ZCD_NM,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT
80E637212D,에스******,커피전문점,1.4629083333333333,7.088674999999999,20.678145833333335,21.371845833333335,3.283170833333333,1.3370916666666668,6.973825000000001,17.1051875,17.894820833333334,2.8126625,68.78571428571429,4.919047619047619,26.295238095238098,30.13875,5.2250000000000005
167F268F8E,돔카*,카페,1.6580083333333333,10.040279166666666,21.119033333333334,18.776641666666666,8.037420833333334,1.1461583333333334,7.051387500000001,14.418466666666667,12.440025,5.337579166666667,46.083333333333336,4.829166666666667,49.07916666666667,38.7875,6.1191666666666675
572B665575,이디***********,커피전문점,8.400970833333334,12.079983333333333,11.195291666666668,7.404325,4.0852916666666665,11.061529166666666,15.899183333333333,14.733875,9.737341666666667,5.381374999999999,71.26666666666667,3.0583333333333336,25.666666666666668,38.90416666666667,5.791250000000001
FCAF2BC53E,빽다******,커피전문점,30.834879166666667,7.358720833333333,4.7004624999999995,4.844129166666667,1.1076416666666666,32.260954166666664,7.7079458333333335,4.9245375000000005,5.093370833333333,1.1673583333333333,37.916666666666664,6.908333333333334,55.1625,31.46666666666667,6.568333333333334
5FCE089938,이디******,커피전문점,5.972616666666667,9.965887500000001,10.864758333333334,4.808741666666666,1.8232791666666666,11.777383333333333,19.6841125,21.731075,9.699591666666667,3.6683874999999997,53.04583333333333,5.883333333333333,41.079166666666666,37.522083333333335,5.934583333333333
8532D4C362,그린******,카페,13.262983333333333,3.8266166666666663,4.718188888888889,4.0347888888888885,1.3581555555555556,35.348127777777776,10.212272222222222,12.676255555555556,10.720766666666668,3.825177777777778,51.56111111111111,8.661111111111111,39.76111111111111,41.64944444444445,18.611666666666665
BD237E8126,페로************,카페,14.273970833333331,6.553237499999999,1.4627125,1.5085666666666666,0.313625,46.992695833333336,19.088429166666668,4.045620833333333,4.853933333333333,0.9030416666666667,5.147826086956522,5.886956521739131,88.95652173913044,12.682083333333333,9.774583333333334
6B31815A9D,개인****************,카페,12.276962500000002,22.963091666666667,15.690583333333334,10.9928375,5.7291625,5.852204166666667,10.970241666666666,7.480250000000001,5.273829166666666,2.7625041666666665,12.30909090909091,43.18181818181818,44.51363636363636,32.8125,5.20625
EB66B019B5,카페*********,카페,1.2705541666666667,5.134454166666667,12.513779166666666,10.496645833333334,5.085883333333333,2.3711125,9.723879166666666,23.652887500000002,20.007520833333334,9.747449999999999,71.13333333333334,7.458333333333333,21.425,40.625416666666666,5.961666666666667
D731C6D372,커피********,커피전문점,4.7230625,12.331341666666667,15.034379166666668,7.592183333333334,3.685120833333333,6.110270833333334,16.064491666666665,19.711454166666666,9.94115,4.814879166666667,61.958333333333336,4.583333333333333,33.44583333333333,40.814166666666665,5.8620833333333335
BE646F48C4,카페***,카페,7.502245833333333,13.051795833333335,10.090366666666666,8.1890125,2.841908333333333,10.360254166666666,18.398204166666666,14.230466666666667,11.435987500000001,3.878925,34.00833333333333,26.233333333333334,39.770833333333336,32.89958333333333,6.4816666666666665
6DF56DD3F4,커스*******,커피전문점,3.2879666666666663,14.135058333333333,12.006749999999998,5.00725,1.7885625,5.795366666666666,24.835774999999998,21.134916666666665,8.826083333333333,3.1614375,60.00833333333333,3.641666666666667,36.354166666666664,39.855,6.38375
3D65A21626,컴포***********,커피전문점,7.52590909090909,17.19419090909091,15.313609090909091,7.432663636363636,4.128445454545455,7.074090909090909,16.10580909090909,14.359118181818182,6.958245454545454,3.8806454545454545,33.445454545454545,5.6454545454545455,60.93636363636363,34.27363636363636,25.229090909090907
